mismatch_type,file_path,health_score,rule_label,pred_label,pred_conf,prob_normal,prob_abnormal,prob_fault,top_time_idx,top_time_score,time_score_sum,seq_len,xai_png
Normal->Abnormal,/home/t113ab8043/Desktop/nanten_railway_code/資料集/已處理資料/6score/P1603N/正常/P1603N_20230414031721_0.csv,80.9662649782135,0,1,0.9829702377319336,0.016433199867606163,0.9829702377319336,0.0005965282907709479,"[293, 292, 291, 295, 290, 289, 296, 288, 287, 286]","[3.389177436474711e-05, 3.332364576635882e-05, 3.154046135023236e-05, 2.9271097446326166e-05, 2.8709438993246295e-05, 2.792124723782763e-05, 2.5467768864473328e-05, 2.461469739500899e-05, 2.3171802240540273e-05, 2.2389498553820886e-05]",0.0005020301905460656,298,./xai_ig_figs/IG_NormaltoAbnormal_conf0.983_score80.97.png
Abnormal->Normal,/home/t113ab8043/Desktop/nanten_railway_code/資料集/已處理資料/6score/P1602N/異常/P1602N_20230514033946_1.csv,78.9841966324201,1,0,0.9510481357574463,0.9510481357574463,0.03676943480968475,0.012182468548417091,"[291, 292, 290, 293, 289, 287, 294, 286, 285, 288]","[0.00022377535060513765, 0.00019851949764415622, 0.00019422348123043776, 0.0001791949471225962, 0.00016507250256836414, 0.00010310001380275935, 8.484607678838074e-05, 5.800497092423029e-05, 5.003154365113005e-05, 4.221444032737054e-05]",0.0016096035251393914,295,./xai_ig_figs/IG_AbnormaltoNormal_conf0.951_score78.98.png
Normal->Abnormal,/home/t113ab8043/Desktop/nanten_railway_code/資料集/已處理資料/6score/P1603N/正常/P1603N_20230720040508_0.csv,82.90555986887509,0,1,0.9137293100357056,0.08566312491893768,0.9137293100357056,0.000607536465395242,"[294, 289, 293, 292, 288, 286, 287, 290, 291, 285]","[3.838636985165067e-05, 3.076498978771269e-05, 2.9276692657731473e-05, 2.9151688067940995e-05, 2.8528706025099382e-05, 2.7059211788582616e-05, 2.6468196665518917e-05, 2.627238427521661e-05, 2.490518818376586e-05, 2.4882028810679913e-05]",0.0005062473937869072,296,./xai_ig_figs/IG_NormaltoAbnormal_conf0.914_score82.91.png
Normal->Abnormal,/home/t113ab8043/Desktop/nanten_railway_code/資料集/已處理資料/6score/P1602R/正常/P1602R_20230701044905_0.csv,80.08407538082436,0,1,0.8950704336166382,0.10378710925579071,0.8950704336166382,0.0011425099801272154,"[273, 272, 275, 271, 269, 270, 268, 274, 267, 266]","[3.390655911061913e-05, 3.3343570976285264e-05, 3.310783358756453e-05, 2.8445996576920152e-05, 2.8390903025865555e-05, 2.7548763682716526e-05, 2.5278006432927214e-05, 2.435128772049211e-05, 2.364611646044068e-05, 2.2575022740056738e-05]",0.0005539918784052134,278,./xai_ig_figs/IG_NormaltoAbnormal_conf0.895_score80.08.png
Abnormal->Fault,/home/t113ab8043/Desktop/nanten_railway_code/資料集/已處理資料/6score/P1603R/異常/P1603R_20230314042920_1.csv,61.86566091954023,1,2,0.8173473477363586,0.001658148830756545,0.18099454045295715,0.8173473477363586,"[293, 294, 292, 295, 291, 290, 297, 296, 288, 286]","[0.0003882391029037535, 0.00037875788984820247, 0.00032267271308228374, 0.00027344311820343137, 0.00021387793822214007, 0.0002038465318037197, 0.00015743194671813399, 0.00013888294051866978, 0.0001322754833381623, 7.473667210433632e-05]",0.0026158757973462343,298,./xai_ig_figs/IG_AbnormaltoFault_conf0.817_score61.87.png
Abnormal->Fault,/home/t113ab8043/Desktop/nanten_railway_code/資料集/已處理資料/6score/P1603R/異常/P1603R_20230303215741_1.csv,60.70015380313198,1,2,0.8142558336257935,0.001675854786299169,0.18406826257705688,0.8142558336257935,"[282, 283, 281, 279, 284, 285, 278, 280, 277, 275]","[0.0004107245767954737, 0.00036415536305867136, 0.0003365905140526593, 0.000260051223449409, 0.00021165076759643853, 0.00015743593394290656, 0.00014769844710826874, 0.0001234737574122846, 0.00011225312482565641, 8.605909533798695e-05]",0.002478725044056773,286,./xai_ig_figs/IG_AbnormaltoFault_conf0.814_score60.70.png
Abnormal->Fault,/home/t113ab8043/Desktop/nanten_railway_code/資料集/已處理資料/6score/P1602R/異常/P1602R_20230302045422_1.csv,60.716248359580064,1,2,0.7922251224517822,0.0016549775609746575,0.20611988008022308,0.7922251224517822,"[303, 302, 299, 304, 301, 300, 298, 297, 296, 305]","[0.0003943745687138289, 0.00031487029627896845, 0.00028317683609202504, 0.00027691636933013797, 0.00023551042249891907, 0.00020528212189674377, 0.0001910010469146073, 0.00015185971278697252, 0.00011766319221351296, 8.563314622733742e-05]",0.0026504723355174065,306,./xai_ig_figs/IG_AbnormaltoFault_conf0.792_score60.72.png
Fault->Abnormal,/home/t113ab8043/Desktop/nanten_railway_code/資料集/已處理資料/6score/P1602N/故障/P1602N_20230409050731_2.csv,59.34478893263342,2,1,0.7369438409805298,0.0028841812163591385,0.7369438409805298,0.2601719796657562,"[290, 289, 287, 291, 286, 292, 288, 285, 284, 283]","[3.389985067769885e-05, 3.333205313538201e-05, 2.9900540539529175e-05, 2.9153492505429313e-05, 2.74888843705412e-05, 2.7360521926311776e-05, 2.6873996830545366e-05, 2.6113553758477792e-05, 2.422308170935139e-05, 2.1645944798365235e-05]",0.0005485875881277025,295,./xai_ig_figs/IG_FaulttoAbnormal_conf0.737_score59.34.png
Abnormal->Normal,/home/t113ab8043/Desktop/nanten_railway_code/資料集/已處理資料/6score/P1603R/異常/P1603R_20230515215434_1.csv,78.81108539094649,1,0,0.5703141093254089,0.5703141093254089,0.42913827300071716,0.0005475393263623118,"[294, 293, 295, 292, 296, 297, 288, 289, 290, 291]","[0.0002041186671704054, 0.00018843705765902996, 0.00018578005256131291, 0.0001432854332961142, 0.0001358801673632115, 9.82524361461401e-05, 6.754227069905028e-05, 6.667222623946145e-05, 6.184298399602994e-05, 4.6530614781659096e-05]",0.0015027807094156742,298,./xai_ig_figs/IG_AbnormaltoNormal_conf0.570_score78.81.png
Abnormal->Normal,/home/t113ab8043/Desktop/nanten_railway_code/資料集/已處理資料/6score/P1603R/異常/P1603R_20230417023458_1.csv,79.0525477994228,1,0,0.5199312567710876,0.5199312567710876,0.4795340299606323,0.0005347235128283501,"[299, 296, 297, 298, 301, 295, 300, 293, 294, 291]","[0.00023543747374787927, 0.0002151149819837883, 0.0002130822977051139, 0.00016481694183312356, 0.00012715987395495176, 9.806956222746521e-05, 9.703417890705168e-05, 7.801248284522444e-05, 6.959561142139137e-05, 4.858875763602555e-05]",0.0016644108109176159,302,./xai_ig_figs/IG_AbnormaltoNormal_conf0.520_score79.05.png
